Word1,Word2,Level
appraisal,usual,1
arrival,survival,8
revival,arrival,1
survival,rival,9
tribal,survival,6
viral,spiral,7
spiral,lyrical,10
tyrannical,lyrical,7
cynical,lyrical,10
clinical,pinnacle,3
pinnacle,miracle,2
oracle,pinnacle,9
obstacle,article,8
particle,article,10
spectacle,article,7
tentacle,spectacle,9
vehicle,icicle,4
vesicle,icicle,4
cubicle,icicle,1
popsicle,icicle,8
principle,syllable,3
syllable,variable,7
cable,stable,2
fable,stable,2
table,stable,7
label,stable,6
gable,stable,3
ramble,scramble,9
gamble,scramble,10
amble,scramble,6
trample,sample,10
dimple,simple,10
temple,simple,6
crumple,rumple,1
grumble,rumble,4
mumble,tumble,10
jumble,rumble,6
humble,rumble,6
thimble,nimble,5
wimble,nimble,1
tremble,assemble,8
dissemble,assemble,5
resemble,assemble,5
word1,word2,7
fumble,grumble,4
stumble,rumble,6
bundle,jumble,4
cuddle,muddle,3
puddle,huddle,7
nuzzle,puzzle,8
muzzle,puzzle,4
muscle,rustle,2
bustle,rustle,10
hustle,rustle,3
castle,hassle,1
tassel,hassle,8
vassal,hassle,3
rascal,basil,10
fiscal,whiskful,7
riscal,whiskful,10
whistle,thistle,5
bristle,thistle,10
gristle,pistol,5
crystal,pistol,7
pistol,crystal,9
missile,thistle,5
vessel,wrestle,1
wrestle,nestle,10
nestle,trestle,10
trestle,pestle,1
pestle,wrestle,2
throttle,bottle,6
model,waddle,9
coddle,model,8
toddle,model,5
nodule,module,1
globule,nodule,7
capsule,granule,5
granule,annual,6
manual,annual,7
casual,visual,3
usual,casual,10
refusal,usual,3
proposal,usual,5
disposal,usual,6
appraisal,usual,9
arrival,survival,5
revival,arrival,1
survival,tribal,4
rival,tribal,5
spiral,viral,10
lyrical,spiral,10
tyrannical,lyrical,5
cynical,lyrical,7
clinical,pinnacle,4
pinnacle,miracle,1
oracle,pinnacle,5
obstacle,article,7
particle,article,10
spectacle,article,10
tentacle,spectacle,6
vehicle,icicle,5
vesicle,icicle,4
cubicle,icicle,2
popsicle,icicle,4
principle,syllable,10
syllable,variable,10
cable,stable,3
fable,stable,10
table,stable,1
label,stable,8
gable,stable,5
ramble,scramble,4
gamble,scramble,8
amble,scramble,7
trample,sample,2
dimple,simple,1
temple,simple,4
crumple,rumple,8
grumble,rumble,2
mumble,tumble,3
jumble,rumble,1
humble,rumble,1
thimble,nimble,3
wimble,nimble,5
tremble,assemble,3
dissemble,assemble,1
resemble,assemble,1
fumble,grumble,8
stumble,rumble,10
bundle,jumble,2
cuddle,muddle,3
puddle,huddle,2
nuzzle,puzzle,3
muzzle,puzzle,7
muscle,rustle,1
bustle,rustle,10
hustle,rustle,8
castle,hassle,10
tassel,hassle,10
vassal,hassle,10
rascal,basil,2
fiscal,whiskful,3
riscal,whiskful,9
whistle,thistle,7
bristle,thistle,4
gristle,pistol,10
crystal,pistol,5
pistol,crystal,2
missile,thistle,8
vessel,wrestle,4
wrestle,nestle,9
nestle,trestle,5
trestle,pestle,9
pestle,wrestle,4
throttle,bottle,10
model,waddle,5
coddle,model,9
toddle,model,8
nodule,module,3
globule,nodule,1
capsule,granule,3
granule,annual,4
manual,annual,2
casual,visual,1
usual,casual,7
refusal,usual,8
proposal,usual,7
disposal,usual,5
appraisal,usual,1
arrival,survival,7
revival,arrival,7
survival,tribal,9
rival,tribal,3
spiral,viral,9
lyrical,spiral,1
tyrannical,lyrical,1
cynical,lyrical,4
clinical,pinnacle,9
pinnacle,miracle,6
oracle,pinnacle,3
obstacle,article,1
particle,article,4
spectacle,article,9
tentacle,spectacle,3
vehicle,icicle,9
vesicle,icicle,7
cubicle,icicle,4
popsicle,icicle,3
principle,syllable,10
syllable,variable,5
cable,stable,5
fable,stable,3
table,stable,9
label,stable,4
gable,stable,5
ramble,scramble,4
gamble,scramble,5
amble,scramble,7
trample,sample,9
dimple,simple,7
temple,simple,5
crumple,rumple,10
grumble,rumble,10
mumble,tumble,7
jumble,rumble,10
humble,rumble,5
thimble,nimble,3
wimble,nimble,7
tremble,assemble,2
dissemble,assemble,9
resemble,assemble,10
wrangle,tangle,10
spangle,tangle,1
dangle,tangle,6
jangle,tangle,7
mangle,tangle,8
strangle,tangle,10
angle,tangle,9
twang,sang,2
clang,sang,10
fang,sang,2
gang,sang,5
slang,sang,5
whang,sang,6
bang,sang,3
word1,word2,8
hang,sang,1
pang,sang,6
rang,sang,4
sprang,sang,1
tang,sang,7
behold,told,9
sold,told,4
rolled,told,4
fold,told,6
controlled,told,3
patrolled,told,6
bemoaned,moaned,7
stoned,moaned,10
phoned,moaned,10
coned,moaned,3
zoned,moaned,7
loaned,moaned,3
groaned,moaned,2
enthroned,moaned,10
postponed,moaned,4
attoned,moaned,8
dethroned,moaned,9
flown,known,7
grown,known,1
thrown,known,3
shown,known,9
blown,known,1
sown,known,9
mown,known,8
overgrown,known,1
withdrawn,known,6
ingrown,known,5
flown,own,6
town,down,10
crown,down,5
frown,down,6
gown,down,5
renowned,down,5
drowned,down,4
around,down,3
expound,down,3
profound,down,4
astound,down,9
hound,found,2
pound,found,9
mound,found,1
ground,found,1
wound,found,5
bound,found,6
surround,found,6
abound,found,3
redound,found,7
profound,found,9
astound,found,10
confound,found,8
word1,word2,6
sound,round,8
compound,round,5
profound,round,8
astound,round,10
confound,round,4
abound,round,10
redound,round,8
renowned,round,10
drowned,round,2
around,round,5
expound,round,9
bound,sound,4
found,sound,6
ground,sound,1
mound,sound,9
pound,sound,1
wound,sound,5
surround,sound,4
abound,sound,3
redound,sound,6
profound,sound,2
astound,sound,3
confound,sound,5
clown,brown,9
down,brown,2
frown,brown,10
gown,brown,8
renowned,brown,2
drowned,brown,5
around,brown,7
expound,brown,8
profound,brown,1
astound,brown,6
confound,brown,1
own,stone,2
known,stone,1
shown,stone,5
grown,stone,10
thrown,stone,9
blown,stone,6
sown,stone,1
mown,stone,1
overgrown,stone,2
withdrawn,stone,9
ingrown,stone,3
moaned,stoned,1
groaned,stoned,5
loaned,stoned,7
phoned,stoned,6
coned,stoned,1
zoned,stoned,5
attoned,stoned,5
dethroned,stoned,6
postponed,stoned,3
bemoaned,stoned,5
told,sold,7
rolled,sold,5
fold,sold,5
controlled,sold,5
patrolled,sold,10
behold,sold,10
sang,twang,3
clang,twang,1
fang,twang,5
gang,twang,9
slang,twang,1
whang,twang,3
bang,twang,4
hang,twang,1
pang,twang,1
rang,twang,8
sprang,twang,2
tang,twang,8
tangle,wrangle,7
spangle,wrangle,10
dangle,wrangle,10
jangle,wrangle,2
mangle,wrangle,6
strangle,wrangle,6
angle,wrangle,3
assemble,tremble,2
dissemble,tremble,1
resemble,tremble,6
nimble,thimble,5
wimble,thimble,9
rumble,jumble,1
humble,jumble,7
tumble,jumble,5
